wake,estimatedSleep,coffee,actualSleep
31500,9,6,38230
32400,5,2,20180
26100,6.5,10,31989
40500,8.75,4,35258
19800,6,3,24487
27000,7.5,1,28300
20700,9.25,1,34548
21600,6,3,24557
41400,9.25,5,37836
34200,6.75,8,31340
21600,5.25,3,21874
78300,9.25,8,40405
32400,10,2,38076
28800,8.75,3,34265
18900,8.25,1,30936
18000,6.25,2,24665
28800,10,3,39007
18000,6.25,2,24578
7200,10,1,37267
35100,9.5,4,37878
24300,5,2,20220
35100,7.5,1,28400
34200,6.25,1,23882
27900,8,4,32427
30600,8,3,31699
69300,6.5,7,29670
35100,8,4,32789
34200,10,4,39792
34200,8.25,1,30935
23400,8,3,31701
34200,7.5,2,29026
21600,5.5,1,21184
24300,9.75,1,36456
24300,6,1,22842
25200,7,1,26542
28800,6.5,4,27095
28800,8.25,3,32717
18900,9.5,1,35465
33300,7.5,3,29965
31500,5,1,19325
83700,8.75,8,39087
21600,6.25,1,23854
18000,5.25,1,20125
30600,9.25,3,36367
32400,9.25,9,40898
26100,10,1,37289
31500,5,10,26486
35100,5.75,1,22026
25200,10,3,39152
34200,9.5,2,36365
16200,6.25,2,24682
36900,8,8,35901
19800,7.25,2,28197
18000,8,1,30143
27000,9,1,33719
20700,6.75,9,31746
22500,5.5,1,21195
20700,6.5,6,28913
33300,5.5,1,21077
19800,6.25,3,25694
27000,5.75,1,22036
27900,5,8,25678
22500,9,8,39153
34200,6.5,1,24762
33300,7,1,26537
34200,7.75,1,29231
24300,5.5,1,21051
33300,5.25,3,21685
16200,9.75,2,37165
20700,8.75,2,33648
25200,7.25,3,29188
34200,10,1,37351
26100,6.5,4,27230
23400,6.5,1,24772
25200,9.75,2,37282
27000,7.5,10,36373
34200,9.25,1,34607
35100,6,1,22855
28800,8.25,7,36014
23400,8,6,34554
23400,6.5,1,24764
22500,5,9,26342
25200,7.25,2,28119
31500,8.5,1,31913
33300,6.25,1,23820
10800,6.75,1,25585
26100,7.5,1,28324
30600,8.75,1,32859
29700,5.75,3,23635
28800,10,5,40954
23400,8.25,2,31745
34200,5.25,1,20219
27000,5.25,3,21702
29700,5.5,2,21946
26100,8.25,1,30982
26100,5,3,20998
27900,9,1,33753
27000,7.25,1,27395
36900,7.75,10,36270
26100,5.75,3,23617
19800,7.5,2,29137
21600,7.25,1,27429
23400,7.75,1,29288
31500,7,10,33886
13500,9.25,2,35521
33300,7,3,27993
20700,8,1,30090
57600,9.25,1,34595
83700,7.25,1,27468
23400,9.5,9,42215
54000,6.5,8,30077
18900,5.75,1,22016
24300,9.75,10,44469
18900,9.75,5,39761
27000,8.5,2,32719
34200,9,3,35149
26100,7.5,8,33958
18000,8.75,1,32756
1800,9.25,1,34569
33300,5.5,1,21064
51300,8.5,2,32719
22500,6.75,7,30198
32400,10,8,43250
33300,6.25,10,31598
19800,5,1,19297
13500,5,3,21123
31500,7.5,1,28316
40500,6.25,7,28701
18900,7.75,1,29192
18900,7.75,1,29207
26100,8,3,31765
27900,8.25,4,33791
22500,6.25,3,25470
25200,10,7,42330
26100,5.75,3,23727
18900,5,8,24966
48600,8.75,1,32837
27000,7,1,26487
27900,8.25,6,35581
28800,5,2,20233
27000,8.75,3,34407
18000,7.5,1,28250
21600,5.5,2,21888
30600,5,3,20774
40500,9.25,1,34547
24300,8,3,31558
28800,9.25,3,36372
27900,5.5,1,21116
33300,8.25,3,32895
20700,9,3,35517
19800,7.75,2,30043
64800,6.5,4,27136
22500,8.75,1,32752
29700,5.75,3,23609
18000,6.25,4,26426
